timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,bytes,grpThreads,allThreads,Latency
1460690110699,1491,HTTP Request,200,OK,Thread Group 1-4,text,true,1345,5,5,1490
1460690110556,2058,HTTP Request,200,OK,Thread Group 1-5,text,true,3161,5,5,2058
1460690111581,1385,HTTP Request,200,OK,Thread Group 1-1,text,true,979,5,5,1385
1460690111786,1747,HTTP Request,200,OK,Thread Group 1-3,text,true,1316,5,5,1747
1460690112190,2388,HTTP Request,200,OK,Thread Group 1-4,text,true,1129,5,5,2388
1460690112614,2043,HTTP Request,200,OK,Thread Group 1-5,text,true,3236,5,5,2043
1460690111341,5064,HTTP Request,200,OK,Thread Group 1-2,text,true,1106,5,5,5064
1460690112967,3961,HTTP Request,200,OK,Thread Group 1-1,text,true,1345,5,5,3961
1460690113533,3863,HTTP Request,200,OK,Thread Group 1-3,text,true,1031,5,5,3863
1460690114658,3225,HTTP Request,200,OK,Thread Group 1-5,text,true,1316,5,5,3225
1460690114579,3425,HTTP Request,200,OK,Thread Group 1-4,text,true,979,5,5,3425
1460690116406,2055,HTTP Request,200,OK,Thread Group 1-2,text,true,1204,5,5,2055
1460690116928,2084,HTTP Request,200,OK,Thread Group 1-1,text,true,3161,5,5,2084
1460690117396,1771,HTTP Request,200,OK,Thread Group 1-3,text,true,1345,5,5,1771
1460690118005,1448,HTTP Request,200,OK,Thread Group 1-4,text,true,979,5,5,1448
1460690119167,2370,HTTP Request,200,OK,Thread Group 1-3,text,true,3161,5,5,2370
1460690117883,3829,HTTP Request,200,OK,Thread Group 1-5,text,true,1031,5,5,3829
1460690119012,3070,HTTP Request,200,OK,Thread Group 1-1,text,true,1204,5,5,3070
1460690119454,2937,HTTP Request,200,OK,Thread Group 1-4,text,true,1270,5,5,2937
1460690118462,4389,HTTP Request,200,OK,Thread Group 1-2,text,true,1316,5,5,4389
1460690122083,1589,HTTP Request,200,OK,Thread Group 1-1,text,true,1316,5,5,1589
1460690121712,2430,HTTP Request,200,OK,Thread Group 1-5,text,true,1054,5,5,2430
1460690122851,1498,HTTP Request,200,OK,Thread Group 1-2,text,true,3161,5,5,1498
1460690122391,2554,HTTP Request,200,OK,Thread Group 1-4,text,true,1129,5,5,2554
1460690123673,1753,HTTP Request,200,OK,Thread Group 1-1,text,true,1270,5,5,1753
1460690121538,5449,HTTP Request,200,OK,Thread Group 1-3,text,true,1031,5,5,5449
1460690124350,2752,HTTP Request,200,OK,Thread Group 1-2,text,true,1054,5,5,2752
1460690124142,4007,HTTP Request,200,OK,Thread Group 1-5,text,true,1106,5,5,4007
1460690125427,3020,HTTP Request,200,OK,Thread Group 1-1,text,true,1129,5,5,3020
1460690124945,3882,HTTP Request,200,OK,Thread Group 1-4,text,true,1316,5,5,3882
1460690126988,2015,HTTP Request,200,OK,Thread Group 1-3,text,true,3161,5,5,2015
1460690127103,2173,HTTP Request,200,OK,Thread Group 1-2,text,true,1345,5,5,2173
1460690128829,2191,HTTP Request,200,OK,Thread Group 1-4,text,true,1391,5,5,2191
1460690129003,2910,HTTP Request,200,OK,Thread Group 1-3,text,true,1129,5,5,2910
1460690128151,3859,HTTP Request,200,OK,Thread Group 1-5,text,true,1031,5,5,3859
1460690129276,3010,HTTP Request,200,OK,Thread Group 1-2,text,true,3161,5,5,3010
1460690128448,3937,HTTP Request,200,OK,Thread Group 1-1,text,true,979,5,5,3937
1460690131021,1766,HTTP Request,200,OK,Thread Group 1-4,text,true,1270,5,5,1766
1460690132011,1340,HTTP Request,200,OK,Thread Group 1-5,text,true,979,5,5,1340
1460690132287,1559,HTTP Request,200,OK,Thread Group 1-2,text,true,1316,5,5,1559
1460690132787,2486,HTTP Request,200,OK,Thread Group 1-4,text,true,3161,5,5,2486
